,Country,Mean Assistance (2011-2016),Mean CO2 (2011-2016),Mean Employment (2011-2016),Mean GDP (2011-2016),Aided,logAssist,logCO2,logEmploy,logGDP,Employment prediction
0,Afghanistan,5308611735.0,9703.495,16.35166677,1961.268333,Aided,22.39259619451512,9.180241408874025,2.794329835266682,7.581346651613496,2.5918645608613597
1,Albania,297665006.0,4953.505,18.13666662,11050.33167,Aided,19.511479271209733,8.507850685799877,2.897935669256668,9.310215721880061,2.8036958160086187
2,Algeria,153398334.5,139031.8617,30.90999985,12750.56833,Aided,18.848548589602505,11.84245840670905,3.4310797512912266,9.4533311244951,2.85243713477446
3,Angola,257345001.2,35430.55667,7.741666714,7404.383333,Aided,19.365928159743824,10.475329909562225,2.0466170021458936,8.909827446124106,2.81439731665946
5,Argentina,57013332.84,196107.4917,23.71333313,19865.35,Aided,17.858795707919953,12.186418214922323,3.166037469277558,9.89673228702125,2.9252077306209823
6,Armenia,311374994.9,5266.423333,16.62999996,9656.083333,Aided,19.556508515167653,8.56910672668464,2.8112082907995446,9.175343392918256,2.8003850856495762
7,Azerbaijan,144913333.9,36124.22833,14.24000009,15784.09,Aided,18.791646424451265,10.494719064079314,2.6560549123040547,9.66675774966288,2.856620809850984
8,Bangladesh,2295588338.0,73239.77,19.254999800000004,3245.758333,Aided,21.554255004032242,11.201493858423058,2.95777075687996,8.08510429459438,2.653502762763245
9,Belarus,88781668.04,61574.43,31.58499972,18047.65333,Aided,18.301690745659535,11.028001965942238,3.452682315485696,9.800770945890788,2.892644313640586
10,Belize,33210000.04,539.0516667,15.7750001,7296.51,Aided,17.318361594557384,6.28981142290132,2.7584264147664213,8.895151430626974,2.9649426110876345
11,Benin,562900004.1,5470.553333,18.42499987,2718.261667,Aided,20.148612557717964,8.607135048069578,2.9137084310197694,7.907747861968344,2.7568512250496733
12,Bhutan,116103332.5,976.035,10.08166647,8637.003333,Aided,18.56999114995988,6.883498446425852,2.310718573383411,9.063810965178092,2.8729177933665477
13,Bolivia,678728322.4,19379.483330000006,20.88666693,6616.2,Aided,20.335731491170176,9.871970225130655,3.03911100946366,8.797276465992688,2.743093491646225
14,Bosnia and Herzegovina,524620015.5,21318.10667,30.16333326,11302.18833,Aided,20.0781847785007,9.96731206898926,3.406627056263724,9.332751643473358,2.7620293574427563
15,Botswana,92403334.31,5568.95,18.01833344,15276.54333,Aided,18.341673621566905,8.624961805276783,2.8913897639965214,9.634073815269849,2.8897046124714514
16,Brazil,979488342.1,485556.0283,22.37166659,15065.65333,Aided,20.702540893389322,13.09304996335064,3.107795273844536,9.620172818031962,2.7161241953141784
17,Burkina Faso,1055101644.0,2922.598333,27.88333289,1698.365,Aided,20.776902944257255,7.980228339657853,3.3280291228651415,7.437421302545995,2.7106567995124813
19,Cabo Verde,207008332.6,524.995,22.55666637,5940.675,Aided,19.148269604525748,6.263388738736748,3.116030648423963,8.689578042264204,2.830400445367089
20,Cambodia,753003336.6,6918.4083329999985,21.32666683,3129.126667,Aided,20.43958021683005,8.84194101247335,3.0599582535119056,8.048509224473046,2.735458117418949
21,Cameroon,706343332.9,6727.111667,13.689999900000002,3080.483333,Aided,20.375611984472275,8.813901157709445,2.6166656319957555,8.032841789954677,2.7401613180562747
22,Central African Republic,384016670.2,289.6933333,6.845000029,868.595,Aided,19.766196521588896,5.668822892083867,1.9235184629770814,6.766876963694561,2.7849679836117396
24,Chile,141365000.4,81935.44833,23.47833316,22202.06167,Aided,18.76685575886452,11.313687000741762,3.156078002661467,10.007940431566421,2.8584435188721615
25,Colombia,1053653351.0,88075.23,19.9983333,12797.13667,Aided,20.77552934397543,11.385946614616758,2.995648935081437,9.456976727227406,2.710757792106505
26,Comoros,72111666.36,163.1816667,18.52666664,2629.223333,Aided,18.09372639721005,5.094864099822742,2.9192111342068814,7.874443770912647,2.907934685441046
27,"Congo, Dem. Rep.",3009671672.0,3003.273333,9.226666927,801.8133333,Aided,21.825096830687873,8.007458083821284,2.2220978702966767,6.686875829279422,2.6335893869391853
28,"Congo, Rep.",139065001.2,3020.388333,22.79666646,5378.2,Aided,18.750452016320388,8.013140689188397,3.126614317376242,8.590109024683262,2.859649587721408
29,Costa Rica,60566666.93,7635.306667,18.22500007,15491.351669999998,Aided,17.919255249046117,8.940538382792402,2.9027942817356,9.64803719041734,2.9207625030154016
30,Cote d'Ivoire,1302003326.0,9823.893333,11.83333333,3394.31,Aided,20.987169935261015,9.192572792530747,2.4709204075315703,8.129855779277827,2.6951971282092897
31,Djibouti,160660001.1,564.1066667,13.22666677,4415.023333,Aided,18.8948008955567,6.3352433589707235,2.5822350015610622,8.392768397961808,2.8490364799990573
33,Dominican Republic,212086664.9,22791.015,18.16666699,13429.58,Aided,19.172505545799794,10.034121658325649,2.8995884307992537,9.505215015759463,2.828618521899066
34,Ecuador,201133336.4,40173.20667,18.79999987,10855.055,Aided,19.119478611268057,10.60095555165048,2.93385686292101,9.292386149089054,2.8325172745000478
35,"Egypt, Arab Rep.",2708191676.0,223819.6233,24.58666674,10933.48,Aided,21.719546970880035,12.318595753321723,3.202204293562875,9.299584920248297,2.6413498353621048
36,El Salvador,167196669.3,6640.938333,21.13000011,7125.615,Aided,18.934681337961916,8.801008547697268,3.0506938368338337,8.871451317201332,2.8461043101512495
37,Equatorial Guinea,9759999.832,7179.375,24.13500023,30802.39,Aided,16.09380294117616,8.878967610899668,3.183663078642185,10.335347563353741,3.054977067672473
38,Eritrea,99270000.46,665.5616667,7.599999905,270.91833330000003,Aided,18.413353973199733,6.5006312957511545,2.0281482347922855,5.601817422327189,2.884434385937792
