Country,2011,2012,2013,2014,2015,2016
Israel,69130.28,75529.2,66039,62881.72,66207.69,65166.26
Italy,397994.18,369468.59,345317.72,320411.46,358297.99,358297.99
Jamaica,7730.04,7370.67,8001.39,7293.66,7572.36,8225.08
Japan,1190469.55,1229622.11,1244616.47,1206674.02,1163803.12,1135886.25
Jordan,21668.3,24444.22,24462.56,26571.08,26200.72,25107.95
Kazakhstan,259058.88,242971.75,262846.89,248395.25,242091.67,247207.14
Kenya,13457.89,12541.14,13333.21,14436.98,17018.55,17909.63
Kiribati,55.01,51.34,51.34,58.67,62.34,66.01
"Korea, Dem. People’s Rep.",36989.03,38378.82,27803.19,31349.18,25423.31,28283.57
"Korea, Rep.",589400.58,583966.08,592499.19,587156.37,597354.3,620302.39
Kosovo,8368.09,7942.72,8074.73,7260.66,8408.43,8943.81
Kuwait,86658.54,100516.14,94821.29,88371.03,92984.12,98733.98
Kyrgyz Republic,7656.7,10131.92,9842.23,10289.6,10447.28,9787.22
Lao PDR,3325.97,3582.66,4184.05,4554.41,9046.49,17762.95
Latvia,7293.66,7062.64,7080.98,6926.96,7007.64,7003.97
Lebanon,20469.19,22632.72,22581.39,24070.19,24469.89,24796.25
Lesotho,2328.55,2398.22,2423.89,2431.22,2346.88,2511.9
Liberia,861.75,979.09,898.42,1224.78,1239.45,1386.13
Libya,39702.61,52683.79,56266.45,59489.74,56996.18,50564.26
Liechtenstein,51.34,55.01,55.01,47.67,51.34,51.34
Lithuania,13787.92,13831.92,12640.15,12838.17,13083.86,12962.85
Luxembourg,10894.66,10593.96,10051.25,9662.55,9251.84,8987.82
"Macao SAR, China",1510.8,1345.79,1272.45,1576.81,2090.19,2068.19
Madagascar,2401.89,2768.59,3171.96,3300.3,3645,3905.36
Malawi,1169.77,1162.44,1188.11,1052.43,1151.44,1298.12
Malaysia,220405.04,218707.21,236510.5,242671.06,234823.68,248288.9
Maldives,986.42,1111.1,1092.77,1316.45,1301.79,1444.8
Mali,2159.86,2299.21,2698.91,2981.27,3168.29,3179.29
Malta,2548.57,2680.58,2346.88,2346.88,1620.81,1342.12
Marshall Islands,139.35,135.68,139.35,143.01,143.01,143.01
Mauritania,2394.55,2647.57,2390.88,2933.6,2893.26,2739.25
Mauritius,3920.02,3967.69,4070.37,4209.72,4213.38,4349.06
Mexico,484429.04,496324.78,490340.24,481499.1,482947.57,486405.55
"Micronesia, Fed. Sts.",117.34,124.68,135.68,135.68,143.01,143.01
Moldova,5020.12,4924.78,4998.12,4928.45,4943.12,5115.47
Mongolia,21499.62,35074.86,43626.3,29633.03,23285.45,25368.31
Montenegro,2409.22,2214.87,2152.53,2108.53,2240.54,2016.85
Morocco,56699.15,59273.39,58987.36,59882.11,61271.9,61275.57
Mozambique,3223.29,3120.62,4202.38,8434.1,6486.92,7942.72
Myanmar,15144.71,12024.09,13083.86,16347.49,22299.03,25280.3
Namibia,2830.92,3384.64,2629.24,3740.34,3989.7,4228.05
Nauru,40.34,40.34,44,47.67,47.67,47.67
Nepal,5533.5,5856.2,6637.27,8030.73,6252.24,9105.16
Netherlands,175704.31,171765.95,173625.12,168883.69,172492.01,170779.52
New Caledonia,3560.66,3656,3861.35,4888.11,4752.43,5328.15
New Zealand,31484.86,34139.77,33443.04,34656.82,34887.84,34381.79
Nicaragua,4884.44,4616.75,4426.07,4679.09,5331.82,5592.18
Niger,1331.12,1763.83,1895.84,2053.52,2027.85,2016.85
Nigeria,131685.64,119008.82,124329.64,130130.83,115928.54,120369.28
North Macedonia,9306.85,8815.47,7858.38,7539.35,7099.31,7051.64
Norway,42394.19,44499.05,48232.05,47924.02,47212.63,41022.73
Oman,54029.58,59658.42,62041.97,61220.57,65386.28,63457.44
Pakistan,171615.6,170126.8,174857.23,182414.92,188542.47,201149.62
Palau,216.35,216.35,220.02,223.69,223.69,223.69
Panama,10150.26,10029.25,11635.39,11107.34,11129.35,10714.97
Papua New Guinea,5328.15,5078.8,5258.48,5874.53,7480.68,7535.69
Paraguay,5320.82,5284.15,5434.49,5702.19,6303.57,7407.34
Peru,49900.54,55261.69,46816.59,51330.67,52636.12,57414.22
Philippines,85705.12,90684.91,98275.6,104516.83,117120.31,122287.12
Poland,317037.82,299920.26,302344.15,285937.99,285659.3,299036.52
Portugal,47623.33,46013.52,45426.8,44656.73,49258.81,48741.76
Qatar,80435.65,94124.56,85023.06,107032.4,106841.71,103259.05
Romania,85268.75,81722.76,70945.45,69489.65,71715.52,69258.63
Russian Federation,1763405.3,1807244.28,1739426.78,1736984.56,1698213.37,1732026.78
Rwanda,663.73,740.73,817.74,847.08,960.75,1114.77
